Unnamed: 0,model,price_label
512,f150 2wd,-1
513,f-150 xl 2wd reg cab 6.5' box,2
514,f-150 pick-up,-1
515,f-150 pickup truck,-1
516,f150 lariat fx4 supercrew,10
517,f150 4x4 supercrew,-1
518,f-150 xl 4x4 2dr regular,2
519,f-150 supercrew fx-4 4wd,-1
520,f-150 supercab xlt 4wd,5
521,f-150 xl 2dr standard,2
522,f150 regular cab long bed,-1
523,f-150 fx4 pickup 4d 6 1/2,8
524,f-1500,-1
525,f-150 4x4 supercrew pickup,-1
526,f-150 xl supercrew,2
527,f150 lariat limited,17
528,f-150 2wd supercrew,-1
529,f-150 king ranch 4wd,14
530,f-150 xlt truck,5
531,f-150 raptor 4wd truck,18
532,f-150 raptor arizona raptor*rust free*icon level kit*tech pkg*pano roof*newer tires*graphics pkg*like new in&out*non smoker*immaculate interior*heated steering wheel*cooled seats*tailgate step,18
533,f-150 lariat truck leathe,10
534,f-150 supercrew 145 xlt,5
535,f-150 xlt supercab 6.5' b,5
536,f-150 supercab 145 xlt,5
537,f-150 xlt supercrew 6.5',5
538,f-150 xlt 4x4 4dr supercrew,5
539,f-150 svt raptor 4x4 4dr su,18
540,f-150 lariat 4x4 4dr superc,10
541,f-150 lifted 5.0l v8 dbl ro,-1
542,f-150 king ranch pick up t,14
543,f150 off road,-1
544,f150 platinum fx4 4x4 gas,15
545,f-150 supercab 139 xl,2
546,f150 super cab fx4 6-1/2,8
547,"f-150 supercrew 139"" lariat 4wd",10
548,"f-150 supercrew 139"" xlt 4wd",5
549,f-150 v6 power stroke diesel lariat fully loaded lifted,10
550,f150 (northland edition),-1
551,"f-150 4wd supercrew 150"" xlt",5
552,f-150 supercab 163 xlt,5
553,f-150 super crew platinum,15
554,f150 (eco boost) 4x4,-1
555,custom f150 4x4,-1
556,f-150 4wd,-1
557,f-150 2wd supercrew 145 xl,2
558,f150 xlt pickup,5
559,f-150 xl 3dr extended cab,2
560,f150 reg short bed,-1
561,f-150 stx pickup 2d 6 1/2,3
562,f-150 stx 4x4 supercab v8 5.0l automatic only 29k,3
563,f-150 xlt 4x4 2.7l ecobosst super cab 78k 1 owner,5
564,f150 supercrew cab xlt pic,5
565,f-150 raptor 4dr supercre,18
566,f-150 fx4 4dr supercrew s,8
567,f-150 supercab,-1
568,f150 super crew cab l 4x4,-1
569,f150 crewcab lariat 4x4,10
570,f150 long bed,-1
571,f150 super crew 5.0 4x4,-1
572,f150 ext cab 5.0 4x4,-1
573,f150 xl triton,2
574,f150 stx super cab,3
575,f-150 fx4 supercrew 4wd,8
576,f-150 4-dr lariat,10
577,f-150 ex-cab 4x4,-1
578,f150 xlt super crew,5
579,f150 crew cab xlt,5
580,f-150 xlt 4wd supercrew 5.5' box,5
581,f-150 raptor 4wd supercrew 5.5' box,18
582,f-150 lariat 4wd supercrew 5.5' box,10
583,f-150 platinum 4wd supercrew 5.5' box,15
584,f150 truck,-1
585,f150 lt,-1
586,f-150 lariat supercrew 4wd,10
587,f150 king ranch super crew,14
588,f-150 xl 8' bed,2
589,f-150 special,-1
590,f-150 xtnd. cab,-1
591,f-150 xl work truck,2
592,f150 xl supercab 4x4,2
593,f-150 xlt super cab,5
594,f150 xl lwb,2
595,f-150 king ranch automatic,14
596,f-150 limited automatic,17
597,f-150 supercab 145 in xl,2
598,f-150 automatic,-1
599,f150 fxrew 4x44 supercrew,-1
600,f150 supercab xl,2
601,f-150 xl supercab 6.5-ft.,2
602,f-150 lariat 2wd,10
603,f-150 xl 4x4 long bed,2
604,f150 short bed,-1
605,f-150 xlt texas edition,5
606,f150 xlt texas editio,5
607,f-150 xlt super,5
608,f-150 lariat fx4,10
609,f-150 access cab,-1
610,f-150 supercrew 4x4 xlt,5
611,f-150 short bed,-1
612,f150 xlt sport crew,5
613,f-150 lariat 4x4 4door,10
614,"f-150 1 owner, 0 accidents, large touchscreen,buckets, keyless entry, backup camera,bluetooth, very very nice truck",-1
615,"f-150 xlt, 392 month, 2.9%apr, $1500 down, oac, $392.37 month, 2.9%apr, $1500 down, oac, $23,750,",5
